"channel","n","replications","revenue","revenue_se","channel_display","half_normal_constant","squared_rate_constant","revenue_ci_lower","revenue_ci_upper","revenue_over_sqrt_n","revenue_over_sqrt_n_se","normalized_ci_lower","normalized_ci_upper","revenue_squared","revenue_squared_se","revenue_squared_ci_lower","revenue_squared_ci_upper","squared_reference"
"Gaussian",25,10000,0.673912790594298,0.00982746231803727,"Gaussian",0.135778949759029,0.018435923197665,0.654650964450945,0.693174616737651,0.13478255811886,0.00196549246360745,0.130930192890189,0.13863492334753,0.454158449326594,0.0132457051104176,0.428196867310176,0.480120031343013,0.460898079941625
"Gaussian",50,10000,0.954305768582749,0.0139509512974271,"Gaussian",0.135778949759029,0.018435923197665,0.926961904039792,0.981649633125707,0.13495921605806,0.0019729624532828,0.131092209649626,0.138826222466495,0.910699499950312,0.0266269466007034,0.858510684612933,0.962888315287691,0.92179615988325
"Gaussian",100,10000,1.35021941841729,0.0199466376431942,"Gaussian",0.135778949759029,0.018435923197665,1.31112400863663,1.38931482819795,0.135021941841729,0.00199466376431942,0.131112400863663,0.138931482819795,1.82309247787113,0.0538646749559482,1.71751771495747,1.92866724078479,1.8435923197665
"Gaussian",200,10000,1.93015616575463,0.0282182939897838,"Gaussian",0.135778949759029,0.018435923197665,1.87484830953466,1.98546402197461,0.136482651355413,0.00199533470336918,0.132571795336809,0.140393507374016,3.72550282420062,0.108931428262916,3.51199722480531,3.93900842359594,3.687184639533
"Gaussian",500,10000,3.05176187015876,0.0442052956869973,"Gaussian",0.135778949759029,0.018435923197665,2.96511949061225,3.13840424970528,0.136478939856338,0.00197692092243209,0.132604174848371,0.140353704864304,9.3132505121549,0.269808071673344,8.78442669167514,9.84207433263465,9.2179615988325
"Gaussian",1000,10000,4.28239052459659,0.0625275267307333,"Gaussian",0.135778949759029,0.018435923197665,4.15983657220435,4.40494447698882,0.135421078880485,0.00197729400926179,0.131545582622332,0.139296575138638,18.3388686051546,0.535534575996304,17.2892208362019,19.3885163741074,18.435923197665
"Gaussian",2000,10000,6.16975486371691,0.0902535093742046,"Gaussian",0.135778949759029,0.018435923197665,5.99285798534347,6.34665174209035,0.13795991279781,0.00201812982168636,0.134004378347304,0.141915447248315,38.0658750783585,1.11368405685804,35.8830543269167,40.2486958298002,36.87184639533
"Laplace",25,10000,0.513102854147697,0.00744977664826996,"Laplace",0.102054042568596,0.0104150276045928,0.498501291917088,0.527704416378306,0.102620570829539,0.00148995532965399,0.0997002583834175,0.105540883275661,0.263274538934513,0.00764500332198035,0.248290332423431,0.278258745445594,0.260375690114821
"Laplace",50,10000,0.71241225925332,0.010594808165973,"Laplace",0.102054042568596,0.0104150276045928,0.691646435248013,0.733178083258627,0.10075030790369,0.00149833213990602,0.0978135769094745,0.103687038897906,0.50753122713442,0.0150957424437527,0.477943571944664,0.537118882324175,0.520751380229642
"Laplace",100,10000,1.02262860547561,0.0149746817814969,"Laplace",0.102054042568596,0.0104150276045928,0.993278229183871,1.05197898176734,0.102262860547561,0.00149746817814969,0.0993278229183871,0.105197898176734,1.04576926473698,0.0306270758953062,0.98574019598218,1.10579833349178,1.04150276045928
